status,title,doi,authors,year,code,website,keywords,projects,selected
publish,"SPARSE Data, Rich Results: Few-Shot Semi-Supervised Learning via Class-Conditioned Image Translation",10.1016/j.compmedimag.2026.102705,Gianluca Manni; Clemente Lauretti; Loredana Zollo; Paolo Soda,2025,,,oncology; generative AI; clinical prediction,,FALSE
publish,Pathologic Complete Response Prediction with Machine Learning Using Hierarchical Attention Feature Extraction,10.1007/978-3-031-87660-8_19,Domenico Paolo; Ciro Russo; G.I. Russo; Carlo Greco; Alessio Cortellini; Marco Russano; Sara Ramella; Paolo Soda; Claudio Marrocco; Alessandro Bria; Rosa Sicilia,2025,,https://doi.org/10.1007/978-3-031-87660-8_19,radiomics; oncology; clinical prediction,,FALSE
publish,P2.08.30 Ia-Based Prediction in NSCLC Patients Undergoing Neoadjuvant Radiochemotherapy,10.1016/j.jtho.2025.09.665,C. Tacconi; Carlo Greco; Edy Ippolito; A. Iurato; M. Miele; Elena Onorati; E. Molfese; Lucrezia Toppi; L. Trodella; Michele Fiore; Alice Natalina Caragliano; Paolo Soda; Valerio Guarrasi; Sara Ramella,2025,,https://doi.org/10.1016/j.jtho.2025.09.665,oncology; clinical prediction; medical imaging,,FALSE
publish,P1.17.54 Long-Term Outcomes From Pembrolizumab in Patients With Advanced PD-L1 =50% NSCLC and Poor PS: A Transformer-Based AI Approach,10.1016/j.jtho.2025.09.439,Alessio Cortellini; Edoardo Garbo; Giuseppe La Cava; Valentina Santo; Leonardo Brunetti; D.J. Pinato; David O’Reilly; Matthew J. Loza; C. Genova; S.Y. Kim; Ritujith Jayakrishnan; T. El Zarif; F. Pecci; Alessandro Di Federico; M. Montrone; M. Li; Alberto Camerini; Lauren Young; G. Metro; Sukumar Kalvapudi; Michele Ghidini; F. Grossi; Eleni Karapanagiotou; Bartłomiej Tomasik; Raffaele Giusti; E. Bria; Michael Rost; Gabriele Minuti; F. Mazzoni; Vincenzo Sforza; A. Leonetti; Luca Cantini; Isabelle Monnet; M. Macerelli; A. Piedra; D.L. Cortinovis; T. Gorria; T. Beninato; F. Biello; Frank Aboubakar Nana; Joachim G.J.V. Aerts; Taher Abu Hejleh; Kazuki Takada; Heather A. Wakelee; Ahmed Nassar; B. Ricciuti; Paolo Soda; Carla Caruso; Valerio Guarrasi,2025,,https://doi.org/10.1016/j.jtho.2025.09.439,radiomics; oncology; foundation models,,FALSE
publish,NSCLC histological subtype classification from CT scans using generalist 3D medical foundation models,10.1109/ichi64645.2025.00079,Fatih Aksu; Fabrizia Gelardi; Arturo Chiti; Paolo Soda,2025,,https://doi.org/10.1109/ichi64645.2025.00079,radiomics; oncology; foundation models,,FALSE
publish,Multimodal Doctor-in-the-Loop: A Clinically-Guided Explainable Framework for Predicting Pathological Response in Non-Small Cell Lung Cancer,10.1109/ijcnn64981.2025.11228780,Alice Natalina Caragliano; Claudia Tacconi; Carlo Greco; Lorenzo Nibid; Edy Ippolito; Michele Fiore; Giuseppe Perrone; Sara Ramella; Paolo Soda; Valerio Guarrasi,2025,,,radiomics; oncology; multimodal learning,,FALSE
publish,Multi-stage intermediate fusion for multimodal learning to classify non-small cell lung cancer subtypes from CT and PET,10.1016/j.patrec.2025.04.001,Fatih Aksu; Fabrizia Gelardi; Arturo Chiti; Paolo Soda,2025,,https://doi.org/10.1016/j.patrec.2025.04.001,radiomics; oncology; multimodal learning,,FALSE
publish,"Long-term outcomes from pembrolizumab monotherapy in patients with advanced NSCLC, PD-L1 expression ≥ 50 %, and poor performance status: Transformer-based AI to characterize prognostic complexity",10.1016/j.lungcan.2025.108799,Alessio Cortellini; Edoardo Garbo; Giulia La Cava; Fabrizio Citarella; Valentina Santo; Leonardo Brunetti; David J. Pinato; Jarushka Naidoo; Matthew J. Loza; Carlo Genova; Scott Gettinger; So Yeon Kim; Ritujith Jayakrishnan; Talal El Zarif; Marco Russano; Federica Pecci; Alessandro Di Federico; Michele Montrone; Dwight H. Owen; Diego Signorelli; Mingjia Li; Andrea Camerini; Balázs Halmos; Bruno Vincenzi; Giulio Metro; Sai Yendamuri; Francesco Grossi; Eleni Josephides; Bartłomiej Tomasik; Raffaele Giusti; Emilio Bria; Martin Sebastian; Maximilian Rost; Fabian Acker; Lorenza Landi; Francesca Mazzoni; Alessandro Morabito; Alessandro Leonetti; Luca Cantini; Giannis Mountzios; Sukumar Kalvapudi; David O’Reilly; Eleni Karapanagiotou; Isabelle Monnet; Javier Baena; Marianna Macerelli; Margarita Majem; A. Piedra; Diego Cortinovis; Giuseppe Tonini; Gabriele Minuti; Laura Mezquita; Teresa Gorría; Teresa Beninato; Giuseppe Lo Russo; Arsela Prelaj; Andrea De Giglio; Federica Biello; Frank Aboubakar Nana; Anne‐Marie C. Dingemans; Joachim G.J.V. Aerts; Roberto Ferrara; Taher Abu Hejleh; Kazuki Takada; Abdul Rafeh Naqash; Marina Chiara Garassino; Heather A. Wakelee; Amin H. Nassar; Biagio Ricciuti; Paolo Soda; Camillo Maria Caruso; Valerio Guarrasi,2025,,,radiomics; oncology; foundation models,,FALSE
publish,Leveraging Key-Points Encoded Human Pose Images for Human Activity Recognition,10.1007/978-3-031-91575-8_6,Gaia Virginia Dobici; Luca Minutillo; Ermanno Cordelli; Francesco Chirico; Goffredo Foglia; Paolo Soda,2025,,https://doi.org/10.1007/978-3-031-91575-8_6,medical imaging,,FALSE
publish,Lesion-Aware Generative Artificial Intelligence for Virtual Contrast-Enhanced Mammography in Breast Cancer,10.1109/cbms65348.2025.00039,Aurora Rofena; Arianna Manchia; Claudia Lucia Piccolo; Bruno Beomonte Zobel; Paolo Soda; Valerio Guarrasi,2025,,https://doi.org/10.1109/cbms65348.2025.00039,radiomics; oncology; generative AI,,FALSE
publish,IDENTIFYING CARDIOGENIC SHOCK SUB–PHENOTYPES WITH MACHINE LEARNING: A MULTICENTER STUDY COMBINING CLINICAL AND ECHOCARDIOGRAPHIC DATA,10.1093/eurheartjsupp/suaf076.056,Andrea Stefanini; N Ghionzoli; Géza Hálasz; C Sciaccaluga; Carlotta Sorini Dini; F Righini; Andrea Francesconi; Paolo Soda; Valerio Guarrasi; M Pastore; V Di Piazza; Marco Marini; F Ribichini; Domenico Gabrielli; M Cameli; Serafina Valente,2025,,https://doi.org/10.1093/eurheartjsupp/suaf076.056,clinical prediction; medical imaging,,FALSE
publish,Hybrid 3D CNN-MAMBA for Emphysema Classification in the SCAPIS Cohort,10.1109/cbms65348.2025.00141,Francesco Di Feola; Marida De Maria; Göran Bergström; Anders Blomberg; Åse A. Johnsson; Pierangelo Veltri; Paolo Soda,2025,,https://doi.org/10.1109/cbms65348.2025.00141,oncology; multimodal learning; clinical prediction,,FALSE
