status,title,doi,authors,year,code,website,keywords,projects,selected
publish,"SPARSE Data, Rich Results: Few-Shot Semi-Supervised Learning via Class-Conditioned Image Translation",10.1016/j.compmedimag.2026.102705,Gianluca Manni; Clemente Lauretti; Loredana Zollo; Paolo Soda,2025,,,oncology; generative AI; clinical prediction,,FALSE
publish,Pathologic Complete Response Prediction with Machine Learning Using Hierarchical Attention Feature Extraction,10.1007/978-3-031-87660-8_19,Domenico Paolo; Ciro Russo; G.I. Russo; Carlo Greco; Alessio Cortellini; Marco Russano; Sara Ramella; Paolo Soda; Claudio Marrocco; Alessandro Bria; Rosa Sicilia,2025,,https://doi.org/10.1007/978-3-031-87660-8_19,radiomics; oncology; clinical prediction,,FALSE
publish,NSCLC histological subtype classification from CT scans using generalist 3D medical foundation models,10.1109/ichi64645.2025.00079,Fatih Aksu; Fabrizia Gelardi; Arturo Chiti; Paolo Soda,2025,,https://doi.org/10.1109/ichi64645.2025.00079,radiomics; oncology; foundation models,,FALSE
publish,Multimodal Doctor-in-the-Loop: A Clinically-Guided Explainable Framework for Predicting Pathological Response in Non-Small Cell Lung Cancer,10.1109/ijcnn64981.2025.11228780,Alice Natalina Caragliano; Claudia Tacconi; Carlo Greco; Lorenzo Nibid; Edy Ippolito; Michele Fiore; Giuseppe Perrone; Sara Ramella; Paolo Soda; Valerio Guarrasi,2025,,,radiomics; oncology; multimodal learning,,FALSE
publish,Multi-stage intermediate fusion for multimodal learning to classify non-small cell lung cancer subtypes from CT and PET,10.1016/j.patrec.2025.04.001,Fatih Aksu; Fabrizia Gelardi; Arturo Chiti; Paolo Soda,2025,,https://doi.org/10.1016/j.patrec.2025.04.001,radiomics; oncology; multimodal learning,,FALSE
publish,Lesion-Aware Generative Artificial Intelligence for Virtual Contrast-Enhanced Mammography in Breast Cancer,10.1109/cbms65348.2025.00039,Aurora Rofena; Arianna Manchia; Claudia Lucia Piccolo; Bruno Beomonte Zobel; Paolo Soda; Valerio Guarrasi,2025,,https://doi.org/10.1109/cbms65348.2025.00039,radiomics; oncology; generative AI,,FALSE
publish,Hybrid 3D CNN-MAMBA for Emphysema Classification in the SCAPIS Cohort,10.1109/cbms65348.2025.00141,Francesco Di Feola; Marida De Maria; Göran Bergström; Anders Blomberg; Åse A. Johnsson; Pierangelo Veltri; Paolo Soda,2025,,https://doi.org/10.1109/cbms65348.2025.00141,oncology; multimodal learning; clinical prediction,,FALSE
publish,Hierarchical embedding attention for overall survival prediction in lung cancer from unstructured EHRs,10.1186/s12911-025-02998-6,Domenico Paolo; Carlo Greco; Alessio Cortellini; Sara Ramella; Paolo Soda; Alessandro Bria; Rosa Sicilia,2025,,,oncology; foundation models; generative AI,,FALSE
publish,Generative Adversarial Networks for Synthetic Longitudinal Electronic Health Records Enabling Cardiovascular Digital Twins,10.1109/cbms65348.2025.00015,Amanda Bertgren; Fredrik Öhberg; Paolo Soda; Ulf Näslund; Patrik Wennberg; Christer Grönlund,2025,,https://doi.org/10.1109/cbms65348.2025.00015,generative AI; medical imaging,,FALSE
publish,Enhancing NSCLC Histological Subtype Classification: A Federated Learning Approach Using Triplet Loss,10.1007/978-3-031-87660-8_12,Fatih Aksu; Ermanno Cordelli; Fabrizia Gelardi; Arturo Chiti; Paolo Soda,2025,,https://doi.org/10.1007/978-3-031-87660-8_12,radiomics; oncology; medical imaging,,FALSE
publish,Deep learning for human locomotion analysis in lower-limb exoskeletons: a comparative study,10.3389/fcomp.2025.1597143,Omar Coser; Christian Tamantini; Matteo Tortora; Leonardo Furia; Rosa Sicilia; Loredana Zollo; Paolo Soda,2025,,,explainability; medical imaging,,FALSE
publish,Cross-dataset Multivariate Time-series Model for Parkinson's Diagnosis via Keyboard Dynamics,10.1007/978-3-032-17216-7_6,Alessandro Francesconi; Donato Cappetta; Fabrizio Rebecchi; Paolo Soda; Valerio Guarrasi; Rosa Sicilia,2025,,,foundation models; medical imaging,,FALSE
publish,AI-Powered Insulin Pens for Pediatric Diabetes: Advancements in Lipodystrophy Detection and Injection Site Recognition,10.1109/cbms65348.2025.00153,Lorenzo Pede; Mariangela Martino; Maria Elisa Amodeo; Francesca Silvestri; Sebastiano Battista Romano Viglialoro; Daria Maggi; Dario Tuccinardi; Vincenzo Piemonte; Silvia Manfrini; Riccardo Schiaffini; Paolo Soda; Ermanno Cordelli,2025,,https://doi.org/10.1109/cbms65348.2025.00153,medical imaging,,FALSE
publish,AI-CARE: Artificial Intelligence for Customized Adaptive Robot-Aided Rehabilitation,10.1007/978-3-031-81688-8_13,Rita Molle; Christian Tamantini; Alessia Paglialonga; Davide Simeone; Leonardo Furia; Matteo Tortora; Clemente Lauretti; Giulio Iannello; Paolo Soda; Rosa Sicilia; Fabrizio Dabbene; Loredana Zollo,2025,,https://doi.org/10.1007/978-3-031-81688-8_13,medical imaging,,FALSE
publish,ACGM: Attribute-Centric Graph Modeling Network for Concurrent Missing Tabular Data Imputation and COVID-19 Prognosis,10.1109/jbhi.2025.3618935,Zhuoru Wu; Wenting Chen; Li Xu; Filippo Ruffini; Shaonan Liu; Lorenzo Tronchin; Domenico Albano; Eliodoro Faiella; Deborah Fazzini; Domiziana Santucci; Xiaoling Luo; Valerio Guarrasi; Paolo Soda; Linlin Shen,2025,,https://doi.org/10.1109/jbhi.2025.3618935,oncology; COVID-19; explainability,,FALSE
publish,Translating Image XAI to Multivariate Time Series,10.1109/access.2024.3366994,Lorenzo Tronchin; Ermanno Cordelli; Lorenzo Ricciardi Celsi; Daniele Maccagnola; Massimo Natale; Paolo Soda; Rosa Sicilia,2024,,,multimodal learning; explainability; medical imaging,,FALSE
publish,Toward a Multimodal Deep Learning Approach for Histological Subtype Classification in NSCLC,10.1109/bibm62325.2024.10822421,Fatih Aksu; Fabrizia Gelardi; Arturo Chiti; Paolo Soda,2024,,https://doi.org/10.1109/bibm62325.2024.10822421,oncology; multimodal learning; medical imaging,,FALSE
publish,Cross-Modality Calibration in Multi-Input Network for Axillary Lymph Node Metastasis Evaluation,10.1109/tai.2024.3397246,Michela Gravina; Domiziana Santucci; Ermanno Cordelli; Paolo Soda; Carlo Sansone,2024,,,radiomics; oncology; multimodal learning,,FALSE
publish,BodySLAM: A Generalized Monocular Visual SLAM Framework for Surgical Applications,10.48550/arxiv.2408.03078,Gianluca Manni; Clemente Lauretti; Francesco Prata; Rocco Papalia; Loredana Zollo; Paolo Soda,2024,,,medical imaging,,FALSE
publish,AI-based methodologies for exoskeleton-assisted rehabilitation of the lower limb: a review,10.3389/frobt.2024.1341580,Omar Coser; Christian Tamantini; Paolo Soda; Loredana Zollo,2024,,,medical imaging,,FALSE
