status,title,doi,authors,year,code,website,keywords,projects,selected
publish,XGeM: A multi-prompt foundation model for multimodal medical data generation,10.1016/j.compmedimag.2026.102718,Daniele Molino; Francesco Di Feola; Eliodoro Faiella; Deborah Fazzini; Domiziana Santucci; Linlin Shen; Valerio Guarrasi; Paolo Soda,2026,https://github.com/cosbidev/XGeM,https://xgem.ucbm.org/overview,foundation models; generative AI; multimodal learning,,TRUE
publish,"SPARSE data, rich results: Few-shot semi-supervised learning via class-conditioned image translation",10.1016/j.compmedimag.2026.102705,"Manni, Guido; Clemente Lauretti; Loredana Zollo; Paolo Soda",2026,,,oncology; generative AI; clinical prediction,,FALSE
publish,Robust radiomics: a review of guidelines for radiomics in medical imaging,10.3389/fradi.2025.1701110,Michele Avanzo; Paolo Soda; Marco Bertolini; Andrea Bettinelli; Tiziana Rancati; Joseph Stancanello; Osvaldo Rampado; Giovanni Pirrone; Annalisa Drigo,2026,,,radiomics; multimodal learning; medical imaging,,FALSE
publish,Retrieval-Augmented Anatomical Guidance for Text-to-CT Generation,10.48550/arxiv.2603.08305,Daniele Molino; Camillo Maria Caruso; Paolo Soda; Valerio Guarrasi,2026,,,,,FALSE
publish,Probabilistic NDVI Forecasting from Sparse Satellite Time Series and Weather Covariates,10.48550/arxiv.2602.17683,Irene Iele; Giulia Romoli; Daniele Molino; Elena Mulero Ayllón; Filippo Ruffini; Paolo Soda; Matteo Tortora,2026,https://github.com/arco-group/ndvi-forecasting,,industrial AI,agri-industrial-ai-systems,FALSE
publish,Predicting lung cancer survival with attention-based CT slices combination,10.1007/s13755-025-00404-z,Domenico Paolo; Carlo Greco; Edy Ippolito; Michele Fiore; Sara Ramella; Paolo Soda; Matteo Tortora; Alessandro Bria; Rosa Sicilia,2026,,,,,FALSE
publish,Not another imputation method: A transformer-based model for missing values in tabular datasets,10.1016/j.aiopen.2026.02.005,Camillo Maria Caruso; Paolo Soda; Valerio Guarrasi,2026,https://github.com/cosbidev/NAIM,,multimodal learning; clinical prediction; foundation models,clinical-risk-stratification,TRUE
publish,Multimodal Clinical Data Integration for Prognosis of Pulmonary Embolism: A Comparative Study,10.13140/rg.2.2.26384.16646,Domenico Paolo; Paolo Soda; Matteo Tortora; Alessandro Bria; Rosa Sicilia,2026,,,,,FALSE
publish,Machine Learning Models for Sepsis: From Early Detection to Short- and Long-Term Prognosis,10.3390/ijms27062721,Maria Vittoria Ristori; Filippo Ruffini; Silvia Spoto; Roberto Cammarata; Vincenzo La Vaccara; Lucrezia Bani; Damiano Caputo; Paolo Soda; Valerio Guarrasi; Silvia Angeletti,2026,,,,,FALSE
publish,Longitudinal NSCLC Treatment Progression via Multimodal Generative Models,10.48550/arxiv.2603.06147,Massimiliano Mantegna; Elena Mulero Ayllón; Alice Natalina Caragliano; Francesco Di Feola; Claudia Tacconi; Michele Fiore; Edy Ippolito; Carlo Greco; Sara Ramella; Philippe C. Cattin; Paolo Soda; Matteo Tortora; Valerio Guarrasi,2026,,,,,FALSE
publish,Learning from Limited and Incomplete Data: A Multimodal Framework for Predicting Pathological Response in NSCLC,10.48550/arxiv.2603.15100,Alice Natalina Caragliano; Giulia Farina; Fatih Aksu; Camillo Maria Caruso; Claudia Tacconi; Carlo Greco; Lorenzo Nibid; Edy Ippolito; Michele Fiore; Giuseppe Perrone; Sara Ramella; Paolo Soda; Valerio Guarrasi,2026,,,,,FALSE
publish,Hybrid Quantum Neural Network for Multivariate Clinical Time Series Forecasting,10.48550/arxiv.2603.08072,Irene Iele; Floriano Caprio; Paolo Soda; Matteo Tortora,2026,,,multimodal learning,,TRUE
publish,Handling Missing Modalities in Multimodal Survival Prediction for Non-Small Cell Lung Cancer,10.48550/arxiv.2601.10386,Filippo Ruffini; Camillo Maria Caruso; Claudia Tacconi; Lorenzo Nibid; Francesca Miccolis; Marta Lovino; Carlo Greco; Edy Ippolito; Michele Fiore; Alessio Cortellini; Bruno Beomonte Zobel; Giuseppe Perrone; Bruno Vincenzi; Claudio Marrocco; Alessandro Bria; Elisa Ficarra; Sara Ramella; Valerio Guarrasi; Paolo Soda,2026,,,,,FALSE
publish,Fairness-Aware Partial-label Domain Adaptation for Voice Classification of Parkinson's and ALS,10.48550/arxiv.2602.18535,Arianna Francesconi; Zhixiang Dai; Arthur Stefano Moscheni; Himesh Morgan Perera Kanattage; Donato Cappetta; Fabio Rebecchi; Paolo Soda; Valerio Guarrasi; Rosa Sicilia; Mary‐Anne Hartley,2026,,,,,FALSE
publish,Cross-Dataset Multivariate Time-Series Model for Parkinson’s Diagnosis via Keyboard Dynamics,10.1007/978-3-032-17216-7_6,"Francesconi, Arianna; Donato Cappetta; Rebecchi, Fabio; Paolo Soda; Valerio Guarrasi; Rosa Sicilia",2026,,,foundation models; medical imaging,,FALSE
publish,Concept-Enhanced Multimodal RAG: Towards Interpretable and Accurate Radiology Report Generation,10.48550/arxiv.2602.15650,Marco Salmè; Federico Siciliano; Fabrizio Silvestri; Paolo Soda; Rosa Sicilia; Valerio Guarrasi,2026,,,,,FALSE
publish,Beyond a single mode: GAN ensembles for diverse medical data generation,10.1016/j.cmpb.2026.109234,Lorenzo Tronchin; Tommy Löfstedt; Paolo Soda; Valerio Guarrasi,2026,https://github.com/ltronchin/GAN-Ensembles,,generative AI; medical imaging,,TRUE
publish,A Systematic Benchmark of GAN Architectures for MRI-to-CT Synthesis,10.48550/arxiv.2603.13520,Alessandro Pesci; Valerio Guarrasi; Marco Alì; Isabella Castiglioni; Paolo Soda,2026,,,,,FALSE
publish,Whole-Body Image-to-Image Translation for a Virtual Scanner in a Healthcare Digital Twin,10.1109/cbms65348.2025.00114,Valerio Guarrasi; Francesco Di Feola; Rebecca Restivo; Lorenzo Tronchin; Paolo Soda,2025,,,medical imaging; generative AI,agri-industrial-ai-systems,FALSE
publish,Transformer-Based Analysis for Detecting Pulmonary Nodules in CT Scans: Preliminary Results,10.1109/bibm66473.2025.11356132,Martina De Salazar; Fatih Aksu; Raffaele Giancotti; Fabrizia Gelardi; Patrizia Vizza; PH Guzzi; Paolo Soda; Giuseppe Tradigo; Arturo Chiti; Pierangelo Veltri,2025,,,,,FALSE
publish,Timing Is Everything: Finding the Optimal Fusion Points in Multimodal Medical Imaging,10.1109/ijcnn64981.2025.11227201,Valerio Guarrasi; Klara Mogensen; Sara Tassinari; Sara Qvarlander; Paolo Soda,2025,,,multimodal learning; medical imaging,,FALSE
publish,Texture-Aware StarGAN for CT data harmonization,10.1109/ijcnn64981.2025.11228038,"Francesco Di Feola; Pompilio, Ludovica; Cecilia Assolito; Valerio Guarrasi; Paolo Soda",2025,,,generative AI; medical imaging,,FALSE
publish,Text-to-CT Generation via 3D Latent Diffusion Model with Contrastive Vision-Language Pretraining,10.48550/arxiv.2506.00633,Daniele Molino; Camillo Maria Caruso; Filippo Ruffini; Paolo Soda; Valerio Guarrasi,2025,,,generative AI; foundation models; medical imaging,,FALSE
publish,Sample-Aware Test-Time Adaptation for Medical Image-to-Image Translation,10.48550/arxiv.2508.00766,Irene Iele; Francesco Di Feola; Valerio Guarrasi; Paolo Soda,2025,https://github.com/Sample-Aware-TTA/Code,,generative AI; medical imaging,,FALSE
publish,Pathologic Complete Response Prediction with Machine Learning Using Hierarchical Attention Feature Extraction,10.1007/978-3-031-87660-8_19,Domenico Paolo; Ciro Russo; G.I. Russo; Carlo Greco; Alessio Cortellini; Marco Russano; Sara Ramella; Paolo Soda; Claudio Marrocco; Alessandro Bria; Rosa Sicilia,2025,,https://doi.org/10.1007/978-3-031-87660-8_19,radiomics; oncology; clinical prediction,,FALSE
publish,P2.08.30 Ia-Based Prediction in NSCLC Patients Undergoing Neoadjuvant Radiochemotherapy,10.1016/j.jtho.2025.09.665,Claudia Tacconi; Carlo Greco; Edy Ippolito; A. Iurato; Marianna Miele; Elena Onorati; Elisabetta Molfese; Lucrezia Toppi; L. Trodella; Michele Fiore; Alice Natalina Caragliano; Paolo Soda; Valerio Guarrasi; Sara Ramella,2025,,,,,FALSE
